Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;019_m_f_n_a.jpg;neutral;8;19;f;019_m_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;238;block1_Pilot_2;19;n_h;n_h_weak;;;;;0;0;0;0;0;16;16;16;;;;;;;;;168.3195065;None;170.3598920000004;170.65330929999982;170.65330929999982;170.6775819000004;170.6775819000004;170.71844520000013;170.71844520000013;None;8;0;170.71844520000013;None;172.21858690000045;None;['8'];[2.096596700000191];172.21858690000045;None;1.0287478999998712;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;028_y_f_n_a.jpg;neutral;8;30;f;030_o_f_s_a.jpg;sad;incongruent;7;match;;140;160;;18;219;block1_Pilot_2;28;n_s;n_s_weak;;;;;0;0;0;0;0;17;17;17;;;;;;;;;175.21934020000026;None;177.06408530000044;177.35321139999996;177.35321139999996;177.50271340000018;177.50271340000018;177.54376070000035;177.54376070000035;None;8;0;177.54376070000035;None;179.04358849999971;None;['7'];[0.3518914999995104];179.04358849999971;None;0.7797236999995221;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;008_y_m_h_a.jpg;happy;9;8;m;008_y_m_s_a.jpg;sad;incongruent;7;match;;120;160;;3;176;block1_Pilot_2;8;h_s;h_s_weak;;;;;0;0;0;0;0;18;18;18;;;;;;;;;182.04396610000003;None;183.51984749999974;183.81132479999997;183.81132479999997;183.83628120000049;183.83628120000049;183.87700829999994;183.87700829999994;None;9;0;183.87700829999994;None;185.37701300000026;None;['7'];[0.6421940000000177];185.37701300000026;None;1.3663269000007858;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;019_m_f_h_a.jpg;happy;9;33;m;033_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;136;block1_Pilot_2;19;h_n;h_n_weak;;;;;0;0;0;0;0;19;19;19;;;;;;;;;188.37718740000037;None;189.51823930000046;189.81154320000041;189.81154320000041;189.9613687000001;189.9613687000001;190.00213950000034;190.00213950000034;None;9;0;190.00213950000034;None;191.50243060000048;None;['7'];[0.5649286999996548];191.50243060000048;None;1.0411765000008018;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;013_y_m_n_a.jpg;neutral;8;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;2;132;block1_Pilot_2;13;n_s;n_s_strong;;;;;0;0;0;0;0;20;20;20;;;;;;;;;194.50255070000003;None;195.6388407000004;195.92865260000053;195.92865260000053;195.94482380000045;195.94482380000045;195.98562909999964;195.98562909999964;None;8;0;195.98562909999964;None;197.4863551999997;None;['8'];[0.6930793999999878];197.4863551999997;None;1.385609399999339;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;040_y_f_s_a.jpg;sad;7;8;m;008_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;2;175;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;21;21;21;;;;;;;;;200.48663039999974;None;201.95312300000023;202.24491829999988;202.24491829999988;202.2616076000004;202.2616076000004;202.30241130000013;202.30241130000013;None;None;0;202.30241130000013;None;203.80242650000037;None;['9'];[0.6248462999992626];203.80242650000037;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;193;block1_Pilot_2;4;h_s;h_s_weak;;;;;0;0;0;0;0;22;22;22;;;;;;;;;206.8032986999997;None;208.4438594000003;208.7372922000004;208.7372922000004;208.7532941999998;208.7532941999998;208.79419710000002;208.79419710000002;None;9;0;208.79419710000002;None;210.29491609999968;None;['7'];[0.5563591000000088];210.29491609999968;None;1.009158099999695;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;028_y_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;2;126;block1_Pilot_2;28;s_n;s_n_weak;;;;;0;0;0;0;0;23;23;23;;;;;;;;;213.29447580000033;None;214.3551225000001;214.6452922999997;214.6452922999997;214.66175190000013;214.66175190000013;214.70268450000003;214.70268450000003;None;None;0;214.70268450000003;None;216.2029646000001;None;['9'];[0.3362892000004649];216.2029646000001;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;146;block1_Pilot_2;4;h_n;h_n_strong;;;;;0;0;0;0;0;24;24;24;;;;;;;;;219.2035292999999;None;220.44100100000014;220.73732740000014;220.73732740000014;220.76196840000011;220.76196840000011;220.8027844999997;220.8027844999997;None;9;0;220.8027844999997;None;222.30281970000033;None;['7'];[0.604759799999556];222.30281970000033;None;0.960673699999461;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;m;008_y_m_s_a.jpg;sad;7;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;132;block1_Pilot_2;8;s_n;s_n_strong;;;;;0;0;0;0;0;25;25;25;;;;;;;;;225.30320219999976;None;226.4219595000004;226.7126773;226.7126773;226.73710159999973;226.73710159999973;226.7778645999997;226.7778645999997;None;None;0;226.7778645999997;None;228.2781617999999;None;['8'];[1.7251760999997714];228.2781617999999;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_s_a.jpg;sad;incongruent;7;match;;140;160;;2;123;block1_Pilot_2;40;n_s;n_s_weak;;;;;0;0;0;0;0;26;26;26;;;;;;;;;231.2789727999998;None;232.32245930000045;232.61278909999965;232.61278909999965;232.62891190000028;232.62891190000028;232.66963600000054;232.66963600000054;None;None;0;232.66963600000054;None;234.16973899999994;None;['9'];[0.649628400000438];234.16973899999994;None;;;;;;;;Emoconpilot041;2022_Jan_07_1307;BackwardMask;2020.2.8;119.90393296848843;
