Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;019_m_f_n_a.jpg;neutral;8;19;f;019_m_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;238;block1_Pilot_2;19;n_h;n_h_weak;;;;;0;0;0;0;0;16;16;16;;;;;;;;;309.3460823999999;None;311.37345060000007;311.6640400000001;311.6640400000001;311.68847370000003;311.68847370000003;311.72930369999995;311.72930369999995;None;7;0;311.72930369999995;None;313.2292358999998;None;['8'];[0.6365682000000561];313.2292358999998;None;;;;;1.000534300000254;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;028_y_f_n_a.jpg;neutral;8;30;f;030_o_f_s_a.jpg;sad;incongruent;7;match;;140;160;;18;219;block1_Pilot_2;28;n_s;n_s_weak;;;;;0;0;0;0;0;17;17;17;;;;;;;;;316.2295820999998;None;318.07717049999974;318.37249470000006;318.37249470000006;318.52175420000003;318.52175420000003;318.5625454000001;318.5625454000001;None;8;0;318.5625454000001;None;320.06284300000016;None;['7'];[0.38712660000010146];320.06284300000016;None;;;;;0.9194682999996076;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;008_y_m_h_a.jpg;happy;9;8;m;008_y_m_s_a.jpg;sad;incongruent;7;match;;120;160;;3;176;block1_Pilot_2;8;h_s;h_s_weak;;;;;0;0;0;0;0;18;18;18;;;;;;;;;323.06386939999993;None;324.53846190000013;324.83060449999994;324.83060449999994;324.8553707000001;324.8553707000001;324.89614530000017;324.89614530000017;None;9;0;324.89614530000017;None;326.39624539999977;None;['7'];[0.8058255999999346];326.39624539999977;None;;;;;0.8337601000002905;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;019_m_f_h_a.jpg;happy;9;33;m;033_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;136;block1_Pilot_2;19;h_n;h_n_weak;;;;;0;0;0;0;0;19;19;19;;;;;;;;;329.39629019999984;None;330.53764649999994;330.83070110000017;330.83070110000017;330.9804473999998;330.9804473999998;331.0212826000002;331.0212826000002;None;9;0;331.0212826000002;None;332.52151189999995;None;['7'];[0.360384200000226];332.52151189999995;None;;;;;0.7006960000003346;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;013_y_m_n_a.jpg;neutral;8;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;2;132;block1_Pilot_2;13;n_s;n_s_strong;;;;;0;0;0;0;0;20;20;20;;;;;;;;;335.52179350000006;None;336.6442040000002;336.93964589999996;336.93964589999996;336.955457;336.955457;336.9965563999999;336.9965563999999;None;8;0;336.9965563999999;None;338.4964461999998;None;['8'];[0.345493599999827];338.4964461999998;None;;;;;1.061341099999936;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;040_y_f_s_a.jpg;sad;7;8;m;008_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;2;175;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;21;21;21;;;;;;;;;341.49648879999995;None;342.9638875999999;343.2559652;343.2559652;343.2723729999998;343.2723729999998;343.3132384999999;343.3132384999999;None;None;0;343.3132384999999;None;344.81318269999974;None;['9'];[0.5327352999997856];344.81318269999974;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;193;block1_Pilot_2;4;h_s;h_s_weak;;;;;0;0;0;0;0;22;22;22;;;;;;;;;347.8142294999998;None;349.45537969999987;349.74816469999996;349.74816469999996;349.7639260000001;349.7639260000001;349.8051010999998;349.8051010999998;None;None;0;349.8051010999998;None;351.30508039999995;None;['9'];[0.5289526999999907];351.30508039999995;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;028_y_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;2;126;block1_Pilot_2;28;s_n;s_n_weak;;;;;0;0;0;0;0;23;23;23;;;;;;;;;354.30521910000016;None;355.3689094000001;355.6646374000002;355.6646374000002;355.68099489999986;355.68099489999986;355.7219144999999;355.7219144999999;None;None;0;355.7219144999999;None;357.22231569999985;None;['9'];[1.0837037999999666];357.22231569999985;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;146;block1_Pilot_2;4;h_n;h_n_strong;;;;;0;0;0;0;0;24;24;24;;;;;;;;;360.22236969999994;None;361.4865884999999;361.7817230999999;361.7817230999999;361.8060566999998;361.8060566999998;361.8469138999999;361.8469138999999;None;9;0;361.8469138999999;None;363.34684590000006;None;['7'];[0.479154600000129];363.34684590000006;None;;;;;0.722994899999776;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;008_y_m_s_a.jpg;sad;7;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;132;block1_Pilot_2;8;s_n;s_n_strong;;;;;0;0;0;0;0;25;25;25;;;;;;;;;366.3478282000001;None;367.46986549999974;367.7649793999999;367.7649793999999;367.7896965;367.7896965;367.83037639999975;367.83037639999975;None;8;1;367.83037639999975;None;369.33031230000006;None;['8'];[0.35971420000032595];369.33031230000006;None;;;;;0.9236218999999437;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_s_a.jpg;sad;incongruent;7;match;;140;160;;2;123;block1_Pilot_2;40;n_s;n_s_weak;;;;;0;0;0;0;0;26;26;26;;;;;;;;;372.3305257000002;None;373.37445179999986;373.66505000000006;373.66505000000006;373.68105650000007;373.68105650000007;373.72225949999984;373.72225949999984;None;None;0;373.72225949999984;None;375.2225026000001;None;['9'];[0.7553998000003048];375.2225026000001;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;028_y_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;3;159;block1_Pilot_2;28;s_s;s_s_weak;;;;;0;0;0;0;0;27;27;27;;;;;;;;;378.2222619999998;None;379.5588883999999;379.84841689999985;379.84841689999985;379.8729303;379.8729303;379.9139107000001;379.9139107000001;None;8;0;379.9139107000001;None;381.4140822999998;None;['7'];[0.995821800000158];381.4140822999998;None;;;;;0.8798807000002853;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;012_o_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;18;166;block1_Pilot_2;12;s_s;s_s_weak;;;;;0;0;0;0;0;28;28;28;;;;;;;;;384.41400780000004;None;385.8074225999999;386.0983154999999;386.0983154999999;386.2481349999998;386.2481349999998;386.2889844000001;386.2889844000001;None;7;1;386.2889844000001;None;387.7891138;None;"['7', '7']";"[0.35672810000005484, 2.084932799999933]";387.7891138;None;;;;;1.0488728999998784;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;028_y_f_n_a.jpg;neutral;8;28;f;028_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;186;block1_Pilot_2;28;n_h;n_h_weak;;;;;0;0;0;0;0;29;29;29;;;;;;;;;390.789209;None;392.36125059999995;392.65703459999986;392.65703459999986;392.6732766;392.6732766;392.7143430000001;392.7143430000001;None;None;0;392.7143430000001;None;394.2140537;None;['9'];[0.37158069999986765];394.2140537;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;m;027_o_m_n_a.jpg;neutral;8;16;m;016_y_m_n_a.jpg;neutral;congruent;8;match;;140;170;;2;188;block1_Pilot_2;27;n_n;n_n_weak;;;;;0;0;0;0;0;30;30;30;;;;;;;;;397.21556310000005;None;398.80344460000015;399.09900359999983;399.09900359999983;399.11504130000003;399.11504130000003;399.15592229999993;399.15592229999993;None;None;0;399.15592229999993;None;400.65593149999995;None;None;;400.65593149999995;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
;f;012_o_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;162;block1_Pilot_2;12;s_n;s_n_strong;;;;;0;0;0;0;0;31;31;31;;;;;;;;;403.65605679999953;None;405.0095959999999;405.3070177999998;405.3070177999998;405.3317753000001;405.3317753000001;405.3726528999996;405.3726528999996;None;None;0;405.3726528999996;None;406.8727106999995;None;['8'];[1.0011070000000473];406.8727106999995;None;;;;;;;;Emoconpilot040;2021_Dec_15_1247;BackwardMask;2020.2.8;119.87173724068587;
