Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;key_resp_Rating.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;m;013_y_m_n_a.jpg;neutral;8;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;2;132;block1_Pilot_2;13;n_s;n_s_strong;;;;;0;0;0;0;0;20;20;20;;;;;;;;;287.1159423000645;None;288.24301009997725;288.5329003999941;288.5329003999941;288.5489912999328;288.5489912999328;288.5899380000774;288.5899380000774;None;8;0;288.5899380000774;None;290.08985419990495;None;['7'];290.08985419990495;None;0.9059373000636697;[1.0298559998627752];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;040_y_f_s_a.jpg;sad;7;8;m;008_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;2;175;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;21;21;21;;;;;;;;;293.09080319991335;None;294.5569754000753;294.849297599867;294.849297599867;294.8659049998969;294.8659049998969;294.9067736999132;294.9067736999132;None;8;0;294.9067736999132;None;296.4065926000476;None;['7'];296.4065926000476;None;0.7572052001487464;[0.48931450000964105];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;193;block1_Pilot_2;4;h_s;h_s_weak;;;;;0;0;0;0;0;22;22;22;;;;;;;;;299.40787489991635;None;301.03708979999647;301.33322379994206;301.33322379994206;301.349257200025;301.349257200025;301.3900675000623;301.3900675000623;None;9;0;301.3900675000623;None;302.8901009000838;None;['7'];302.8901009000838;None;0.8179251998662949;[0.44582140003331006];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;028_y_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;2;126;block1_Pilot_2;28;s_n;s_n_weak;;;;;0;0;0;0;0;23;23;23;;;;;;;;;305.8902725998778;None;306.962120299926;307.25799630000256;307.25799630000256;307.27449969993904;307.27449969993904;307.315151900053;307.315151900053;None;9;0;307.315151900053;None;308.81526539986953;None;['8'];308.81526539986953;None;1.1249041999690235;[0.5926011002156883];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;146;block1_Pilot_2;4;h_n;h_n_strong;;;;;0;0;0;0;0;24;24;24;;;;;;;;;311.81589509989135;None;313.05907449987717;313.3501198999584;313.3501198999584;313.3745029999409;313.3745029999409;313.41526359994896;313.41526359994896;None;9;0;313.41526359994896;None;314.9151949000079;None;['7'];314.9151949000079;None;0.6805910000111908;[0.47683640010654926];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;m;008_y_m_s_a.jpg;sad;7;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;132;block1_Pilot_2;8;s_n;s_n_strong;;;;;0;0;0;0;0;25;25;25;;;;;;;;;317.91528229997493;None;319.0423071999103;319.3335549000185;319.3335549000185;319.3579522999935;319.3579522999935;319.39881119993515;319.39881119993515;None;None;0;319.39881119993515;None;320.8988673000131;None;['7'];320.8988673000131;None;;[0.2451315000653267];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_s_a.jpg;sad;incongruent;7;match;;140;160;;2;123;block1_Pilot_2;40;n_s;n_s_weak;;;;;0;0;0;0;0;26;26;26;;;;;;;;;323.8989693999756;None;324.9433283000253;325.2336134999059;325.2336134999059;325.2495116998907;325.2495116998907;325.2905655999202;325.2905655999202;None;8;0;325.2905655999202;None;326.7904830998741;None;['8'];326.7904830998741;None;1.1413122001104057;[0.7132776998914778];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;028_y_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;3;159;block1_Pilot_2;28;s_s;s_s_weak;;;;;0;0;0;0;0;27;27;27;;;;;;;;;329.79079349990934;None;331.12765759998;331.41673909989186;331.41673909989186;331.44154380005784;331.44154380005784;331.48256230005063;331.48256230005063;None;8;0;331.48256230005063;None;332.982385299867;None;['8'];332.982385299867;None;0.8771871000062674;[0.441526300041005];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;012_o_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;18;166;block1_Pilot_2;12;s_s;s_s_weak;;;;;0;0;0;0;0;28;28;28;;;;;;;;;335.9826541999355;None;337.3762298000511;337.66683020000346;337.66683020000346;337.8168337000534;337.8168337000534;337.85751509992406;337.85751509992406;None;7;1;337.85751509992406;None;339.3575891999062;None;['8'];339.3575891999062;None;1.2944757998920977;[0.8104409999214113];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
;f;028_y_f_n_a.jpg;neutral;8;28;f;028_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;186;block1_Pilot_2;28;n_h;n_h_weak;;;;;0;0;0;0;0;29;29;29;;;;;;;;;342.3575784000568;None;343.92883639992215;344.21746709989384;344.21746709989384;344.2335175999906;344.2335175999906;344.2742620999925;344.2742620999925;None;8;0;344.2742620999925;None;345.77446009987034;None;['8'];345.77446009987034;None;0.9577422000002116;[0.5615981998853385];;;;;;;Emoconpilot025;2021_Oct_19_1106;BackwardMask;2020.2.8;120.05335150070697;
