Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;012_o_f_s_a.jpg;sad;7;40;f;040_y_f_s_a.jpg;sad;congruent;7;match;;130;160;;1;238;block2_Pilot_2;12;s_s;s_s_strong;;;;;0;1;1;1;0;58;58;58;;;;;;;;;1239.496402699966;None;1241.4829341000877;1241.779863299802;1241.779863299802;1241.7880664998665;1241.7880664998665;1241.8288623997942;1241.8288623997942;None;None;0;;1241.8288623997942;None;1243.3293841001578;None;['9'];[0.7319179000332952];1243.3293841001578;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;021_o_f_h_a.jpg;happy;9;4;m;004_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;1;238;block2_Pilot_2;21;h_n;h_n_weak;;;;;0;1;1;1;0;59;59;59;;;;;;;;;1246.328935999889;None;1248.333282600157;1248.6221989998594;1248.6221989998594;1248.629694600124;1248.629694600124;1248.6705370000564;1248.6705370000564;None;9;0;0.6385924001224339;1248.6705370000564;None;1250.1706564999186;None;['8'];[0.5944830998778343];1250.1706564999186;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;040_y_f_h_a.jpg;happy;9;16;m;016_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;2;154;block2_Pilot_2;40;h_n;h_n_weak;;;;;0;1;1;1;0;60;60;60;;;;;;;;;1253.1716791000217;None;1254.4628534000367;1254.7552037001587;1254.7552037001587;1254.7716192998923;1254.7716192998923;1254.8125105998479;1254.8125105998479;None;9;0;0.5845972998067737;1254.8125105998479;None;1256.312573700212;None;['7'];[0.3886365997605026];1256.312573700212;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;008_y_m_n_a.jpg;neutral;8;4;m;004_o_m_s_a.jpg;sad;incongruent;7;match;;140;160;;18;145;block2_Pilot_2;8;n_s;n_s_strong;;;;;0;1;1;1;0;61;61;61;;;;;;;;;1259.313784999773;None;1260.5445162998512;1260.8388990000822;1260.8388990000822;1260.9885154999793;1260.9885154999793;1261.0291904001497;1261.0291904001497;None;8;0;0.47202089987695217;1261.0291904001497;None;1262.5294138998725;None;['7'];[0.33185729989781976];1262.5294138998725;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;021_o_f_s_a.jpg;sad;7;33;m;033_o_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;1;238;block2_Pilot_2;21;s_h;s_h_strong;;;;;0;1;1;1;0;62;62;62;;;;;;;;;1265.5302045000717;None;1267.519793599844;1267.8137211999856;1267.8137211999856;1267.822166999802;1267.822166999802;1267.8626814000309;1267.8626814000309;None;9;1;1.166484100278467;1267.8626814000309;None;1269.3628469998948;None;['8'];[0.8424510997720063];1269.3628469998948;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;033_o_m_n_a.jpg;neutral;8;30;f;030_o_f_h_a.jpg;happy;incongruent;9;mismatch;;140;150;;18;171;block2_Pilot_2;33;n_h;n_h_weak;;;;;0;1;1;1;0;63;63;63;;;;;;;;;1272.3637132998556;None;1273.8110178001225;1274.1060552001;1274.1060552001;1274.2555526997894;1274.2555526997894;1274.296163899824;1274.296163899824;None;7;0;0.31703219981864095;1274.296163899824;None;1275.7962262998335;None;['7'];[1.5128700998611748];1275.7962262998335;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;027_o_m_n_a.jpg;neutral;8;27;m;027_o_m_h_a.jpg;happy;incongruent;9;match;;140;150;;2;164;block2_Pilot_2;27;n_h;n_h_weak;;;;;0;1;1;1;0;64;64;64;;;;;;;;;1278.7972832000814;None;1280.1821196000092;1280.4727675998583;1280.4727675998583;1280.4890228998847;1280.4890228998847;1280.529754200019;1280.529754200019;None;8;0;1.2595989000983536;1280.529754200019;None;1282.0296192998067;None;['7'];[1.0075568999163806];1282.0296192998067;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;m;008_y_m_n_a.jpg;neutral;8;40;f;040_y_f_n_a.jpg;neutral;congruent;8;mismatch;;140;170;;1;238;block2_Pilot_2;8;n_n;n_n_strong;;;;;0;1;1;1;0;65;65;65;;;;;;;;;1285.0298651000485;None;1287.0328294998035;1287.323098000139;1287.323098000139;1287.3305930001661;1287.3305930001661;1287.3715853998438;1287.3715853998438;None;8;1;1.2495866999961436;1287.3715853998438;None;1288.8714947998524;None;['8'];[1.701807300094515];1288.8714947998524;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;040_y_f_h_a.jpg;happy;9;21;f;021_o_f_n_a.jpg;neutral;incongruent;8;match;;120;170;;18;239;block2_Pilot_2;40;h_n;h_n_strong;;;;;0;1;1;1;0;66;66;66;;;;;;;;;1291.8723883000202;None;1293.8722824999131;1294.1642140997574;1294.1642140997574;1294.3139778999612;1294.3139778999612;1294.354930399917;1294.354930399917;None;9;0;0.7223964999429882;1294.354930399917;None;1295.8549862997606;None;['7'];[0.7822488998062909];1295.8549862997606;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
;f;021_o_f_s_a.jpg;sad;7;28;f;028_y_f_h_a.jpg;happy;incongruent;9;match;;130;150;;1;238;block2_Pilot_2;21;s_h;s_h_weak;;;;;0;1;1;1;0;67;67;67;;;;;;;;;1298.8549346998334;None;1300.8440815000795;1301.139378900174;1301.139378900174;1301.1474470999092;1301.1474470999092;1301.1883872998878;1301.1883872998878;None;None;0;;1301.1883872998878;None;1302.6884785997681;None;"['8', '8']";"[0.13276290008798242, 0.8687395001761615]";1302.6884785997681;None;;;;;;;Emoconpilot034;2021_Dec_01_1718;BackwardMask;2020.2.8;119.93988606232843;
