Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;key_resp.rt;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;019_m_f_n_a.jpg;neutral;8;19;f;019_m_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;238;block1_Pilot_2;19;n_h;n_h_weak;;;;;0;0;0;0;0;16;16;16;;;;;;;;;179.29126940015703;None;181.29562990018167;181.58444710006006;181.58444710006006;181.60890110000037;181.60890110000037;181.64977700007148;181.64977700007148;None;8;0;181.64977700007148;None;183.14968080003746;None;['7'];[0.8324555999133736];183.14968080003746;None;0.6762838999275118;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;028_y_f_n_a.jpg;neutral;8;30;f;030_o_f_s_a.jpg;sad;incongruent;7;match;;140;160;;18;219;block1_Pilot_2;28;n_s;n_s_weak;;;;;0;0;0;0;0;17;17;17;;;;;;;;;186.15059880004264;None;187.99392370018177;188.28442810010165;188.28442810010165;188.43399290018715;188.43399290018715;188.4747597000096;188.4747597000096;None;8;0;188.4747597000096;None;189.9747062001843;None;['7'];[0.27948240004479885];189.9747062001843;None;0.5073082000017166;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;008_y_m_h_a.jpg;happy;9;8;m;008_y_m_s_a.jpg;sad;incongruent;7;match;;120;160;;3;176;block1_Pilot_2;8;h_s;h_s_weak;;;;;0;0;0;0;0;18;18;18;;;;;;;;;192.9756086000707;None;194.44968449999578;194.7425919000525;194.7425919000525;194.7674496001564;194.7674496001564;194.80831190012395;194.80831190012395;None;9;0;194.80831190012395;None;196.30849560000934;None;['7'];[0.2414707001298666];196.30849560000934;None;0.48572269990108907;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;019_m_f_h_a.jpg;happy;9;33;m;033_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;136;block1_Pilot_2;19;h_n;h_n_weak;;;;;0;0;0;0;0;19;19;19;;;;;;;;;199.30914210015908;None;200.449974300107;200.74279440008104;200.74279440008104;200.892703599995;200.892703599995;200.93352940003388;200.93352940003388;None;9;0;200.93352940003388;None;202.43346270010807;None;['7'];[0.444639400113374];202.43346270010807;None;0.31236799992620945;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;013_y_m_n_a.jpg;neutral;8;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;2;132;block1_Pilot_2;13;n_s;n_s_strong;;;;;0;0;0;0;0;20;20;20;;;;;;;;;205.43364410009235;None;206.55408710008487;206.8432784001343;206.8432784001343;206.85938589996658;206.85938589996658;206.90018880018033;206.90018880018033;None;8;0;206.90018880018033;None;208.40036240010522;None;['8'];[0.6457340999040753];208.40036240010522;None;0.6178154998924583;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;040_y_f_s_a.jpg;sad;7;8;m;008_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;2;175;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;21;21;21;;;;;;;;;211.40076230000705;None;212.86597779998556;213.15967190009542;213.15967190009542;213.17606800002977;213.17606800002977;213.21707869996317;213.21707869996317;None;None;0;213.21707869996317;None;214.71703950013034;None;['9'];[0.3611067000310868];214.71703950013034;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;193;block1_Pilot_2;4;h_s;h_s_weak;;;;;0;0;0;0;0;22;22;22;;;;;;;;;217.71775180008262;None;219.3463630999904;219.635136900004;219.635136900004;219.65130020002834;219.65130020002834;219.69220940000378;219.69220940000378;None;9;0;219.69220940000378;None;221.19220459996723;None;['8'];[0.3978581998962909];221.19220459996723;None;0.6979545999784023;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;f;028_y_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;2;126;block1_Pilot_2;28;s_n;s_n_weak;;;;;0;0;0;0;0;23;23;23;;;;;;;;;224.19230180000886;None;225.25354319997132;225.5434324000962;225.5434324000962;225.55985780013725;225.55985780013725;225.60060850018635;225.60060850018635;None;None;0;225.60060850018635;None;227.10069540003315;None;['9'];[0.2734072001185268];227.10069540003315;None;;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;146;block1_Pilot_2;4;h_n;h_n_strong;;;;;0;0;0;0;0;24;24;24;;;;;;;;;230.10141490004025;None;231.3385217001196;231.6270292000845;231.6270292000845;231.65164549998008;231.65164549998008;231.69230260001495;231.69230260001495;None;9;0;231.69230260001495;None;233.19235799997114;None;['7'];[0.49373069987632334];233.19235799997114;None;0.5457787001505494;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
;m;008_y_m_s_a.jpg;sad;7;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;132;block1_Pilot_2;8;s_n;s_n_strong;;;;;0;0;0;0;0;25;25;25;;;;;;;;;236.19400510005653;None;237.31184870004654;237.60243820003234;237.60243820003234;237.6266546000261;237.6266546000261;237.66750610014424;237.66750610014424;None;7;0;237.66750610014424;None;239.16764550004154;None;['7'];[0.6225288000423461];239.16764550004154;None;0.7466541000176221;;;;;Emoconpilot036;2021_Nov_10_1254;BackwardMask;2020.2.8;120.24780677529289;
