Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.rt;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;040_y_f_s_a.jpg;sad;7;8;m;008_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;2;175;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;21;21;21;;;;;;;;;515.8691959003918;None;517.3353726002388;517.6280116001144;517.6280116001144;517.6443299003877;517.6443299003877;517.6853918000124;517.6853918000124;None;8;0;0.5442578000947833;517.6853918000124;None;519.1855899002403;None;['8'];[0.3880081996321678];519.1855899002403;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;193;block1_Pilot_2;4;h_s;h_s_weak;;;;;0;0;0;0;0;22;22;22;;;;;;;;;522.1855587000027;None;523.8417231002823;524.1368970000185;524.1368970000185;524.1530011002906;524.1530011002906;524.1937311002985;524.1937311002985;None;9;0;0.5718487999401987;524.1937311002985;None;525.694405300077;None;['8'];[0.223433299921453];525.694405300077;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;028_y_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;2;126;block1_Pilot_2;28;s_n;s_n_weak;;;;;0;0;0;0;0;23;23;23;;;;;;;;;528.6946272002533;None;529.7621041000821;530.0531826000661;530.0531826000661;530.0698029003106;530.0698029003106;530.1105798003264;530.1105798003264;None;8;1;0.6310352999716997;530.1105798003264;None;531.610781100113;None;['8'];[0.0586887001991272];531.610781100113;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;146;block1_Pilot_2;4;h_n;h_n_strong;;;;;0;0;0;0;0;24;24;24;;;;;;;;;534.6121721002273;None;535.8494883002713;536.1455107000656;536.1455107000656;536.1700026001781;536.1700026001781;536.2106139999814;536.2106139999814;None;9;0;0.8350210003554821;536.2106139999814;None;537.7107530999929;None;['7'];[0.39093369990587234];537.7107530999929;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;008_y_m_s_a.jpg;sad;7;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;132;block1_Pilot_2;8;s_n;s_n_strong;;;;;0;0;0;0;0;25;25;25;;;;;;;;;540.7116034002975;None;541.8376798001118;542.1290145004168;542.1290145004168;542.1533931000158;542.1533931000158;542.1940235001966;542.1940235001966;None;7;0;0.6836065999232233;542.1940235001966;None;543.6951552000828;None;['7'];[0.27839520014822483];543.6951552000828;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;040_y_f_n_a.jpg;neutral;8;40;f;040_y_f_s_a.jpg;sad;incongruent;7;match;;140;160;;2;123;block1_Pilot_2;40;n_s;n_s_weak;;;;;0;0;0;0;0;26;26;26;;;;;;;;;546.6950067002326;None;547.7386680003256;548.0288354000077;548.0288354000077;548.0452001001686;548.0452001001686;548.0860485001467;548.0860485001467;None;8;0;0.6715293996967375;548.0860485001467;None;549.5862701004371;None;['8'];[0.43542049964889884];549.5862701004371;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;028_y_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;3;159;block1_Pilot_2;28;s_s;s_s_weak;;;;;0;0;0;0;0;27;27;27;;;;;;;;;552.5870847003534;None;553.9228327004239;554.2121375002898;554.2121375002898;554.2369667002931;554.2369667002931;554.2777575002983;554.2777575002983;None;7;1;0.9917203998193145;554.2777575002983;None;555.7777765002102;None;['7'];[0.6837029000744224];555.7777765002102;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;012_o_f_s_a.jpg;sad;7;27;m;027_o_m_s_a.jpg;sad;congruent;7;mismatch;;130;160;;18;166;block1_Pilot_2;12;s_s;s_s_weak;;;;;0;0;0;0;0;28;28;28;;;;;;;;;558.7789946002886;None;560.1757598002441;560.4701179000549;560.4701179000549;560.6201735003851;560.6201735003851;560.6611101999879;560.6611101999879;None;7;1;0.5443780003115535;560.6611101999879;None;562.1612878004089;None;['7'];[0.540428000036627];562.1612878004089;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;f;028_y_f_n_a.jpg;neutral;8;28;f;028_y_f_h_a.jpg;happy;incongruent;9;match;;140;150;;2;186;block1_Pilot_2;28;n_h;n_h_weak;;;;;0;0;0;0;0;29;29;29;;;;;;;;;565.1613148003817;None;566.7322945999913;567.0209111003205;567.0209111003205;567.03690070007;567.03690070007;567.0777736003511;567.0777736003511;None;8;0;0.8958425000309944;567.0777736003511;None;568.5779756000265;None;['8'];[0.29975710017606616];568.5779756000265;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
;m;027_o_m_n_a.jpg;neutral;8;16;m;016_y_m_n_a.jpg;neutral;congruent;8;match;;140;170;;2;188;block1_Pilot_2;27;n_n;n_n_weak;;;;;0;0;0;0;0;30;30;30;;;;;;;;;571.5778940003365;None;573.1715920004062;573.4628763003275;573.4628763003275;573.4786968003027;573.4786968003027;573.5196584002115;573.5196584002115;None;8;1;0.5499585000798106;573.5196584002115;None;575.0198869002052;None;['8'];[0.27383860014379025];575.0198869002052;None;;;;;Emoconpilot038;2021_Dec_01_1625;BackwardMask;2020.2.8;120.0474426633815;
