trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,9.0,f,021_o_f_s_a.jpg,sad,a,1,3,832.7177775,833.01726577,833.0262253999999,833.0345519699999,833.0357248,833.07139777,833.0713132999999,833.79308737,s,0,0.7111182999999528,711.1182999999528,833.0713132999999,833.79308737,833.7960660000001,835.2255051699999,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,7.0,f,012_o_f_n_a.jpg,neutral,s,1,3,835.2257251999999,835.52549357,835.8154480000001,835.8237745700001,835.8243517000001,835.8603916700001,835.8600097000001,836.2927369700001,s,1,0.41820869999992283,418.2086999999228,835.8600097000001,836.2927369700001,836.2958936,838.11736537,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1.0,m,004_o_m_h_a.jpg,happy,d,1,3,838.1174294,838.41736047,838.6231839,838.63151047,838.6320117,838.66874497,838.6684106,839.10110697,s,0,0.41777730000012525,417.77730000012525,838.6684106,839.10110697,839.1045819000001,840.20901637,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,8.0,f,019_m_f_h_a.jpg,happy,d,17,3,840.2091823000001,840.50912847,840.5255516,840.66079967,840.6613327,840.7020513699999,840.7015951000001,841.14329767,d,1,0.4329015000000709,432.9015000000709,840.7015951000001,841.14329767,841.1461595999999,842.8674119699999,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,6.0,m,033_o_m_s_a.jpg,sad,a,1,3,842.8678559,843.16744047,843.1770257999999,843.1853523699999,843.1856564,843.2217733699999,843.2217228,843.7019570699999,s,0,0.4724817000001167,472.4817000001167,843.2217228,843.7019570699999,843.7054008,844.88415857,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1.0,m,004_o_m_h_a.jpg,happy,d,17,3,844.8848484,845.1840430699999,845.4050199999999,845.55878927,845.5593280999999,845.5955278700001,845.5953108000001,845.90953227,d,1,0.3068854000000556,306.8854000000556,845.5953108000001,845.90953227,845.9123153999999,847.62591537,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,3.0,m,013_y_m_h_a.jpg,happy,d,17,3,847.6260460999999,847.92579357,848.1595391000001,848.3128150699999,848.3133103,848.3497607700001,848.3498552000001,848.81829027,d,1,0.45631840000010016,456.31840000010016,848.3498552000001,848.81829027,848.8220904,850.50935577,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,12.0,f,040_y_f_n_a.jpg,neutral,s,1,3,850.5092637,850.80950007,851.0560384,851.06436497,851.0651714999999,851.1024748699999,851.1020698,851.7138286700001,s,1,0.6001318000000992,600.1318000000992,851.1020698,851.7138286700001,851.7179550000001,852.77625377,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,2.0,m,008_y_m_h_a.jpg,happy,d,17,3,852.7791003,853.07625637,853.1013012000001,853.23598937,853.2367815,853.27738077,853.2769481,853.93473457,d,1,0.6493133999999827,649.3133999999827,853.2769481,853.93473457,853.9373435,855.7093876700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,4.0,m,016_y_m_s_a.jpg,sad,a,1,3,855.7094050999999,856.01015867,856.0200967999999,856.0284233699999,856.0291348000001,856.0650684699999,856.0648510999999,856.51811157,s,0,0.4453209999999217,445.3209999999217,856.0648510999999,856.51811157,856.5211125000001,858.0013259699999,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,6.0,m,033_o_m_s_a.jpg,sad,a,1,3,858.0046649999999,858.3012795699999,858.3115422999999,858.3198688699999,858.3204230000001,858.35711397,858.3567851,858.9598806700001,s,0,0.5934885000001486,593.4885000001486,858.3567851,858.9598806700001,858.9630231000001,860.55976697,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,8.0,f,019_m_f_s_a.jpg,sad,a,1,3,860.5656295000001,860.8597372700001,861.2368214,861.2451479700001,861.2457102000001,861.28190047,861.2819380000001,861.6267675700001,s,0,0.3321809999999914,332.1809999999914,861.2819380000001,861.6267675700001,861.6294201000001,862.7928014700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,6.0,m,033_o_m_n_a.jpg,neutral,s,17,3,862.7929733000001,863.09282457,863.2968693,863.44992957,863.4503141,863.48650847,863.4865039000001,863.8683253700001,s,1,0.36770149999983914,367.70149999983914,863.4865039000001,863.8683253700001,863.8709475999999,865.12629167,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,3.0,m,013_y_m_n_a.jpg,neutral,s,17,3,865.1267516,865.42618887,865.6615494,865.8126393699999,865.8132274,865.84950577,865.8495110000001,866.16044407,s,1,0.30073960000004263,300.7396000000426,865.8495110000001,866.16044407,866.1635957000001,867.87620167,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1.0,m,004_o_m_h_a.jpg,happy,d,1,3,867.8763836,868.17615047,868.3660772000001,868.3744037700001,868.3745644999999,868.41117577,868.4108550000001,868.79372947,s,0,0.3713216999999531,371.3216999999531,868.4108550000001,868.79372947,868.7971467,870.79305017,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,4.0,m,016_y_m_n_a.jpg,neutral,s,1,3,870.7933513,871.0929155700001,871.3285421999999,871.3368687699999,871.3372324,871.3734143700001,871.3733282999999,872.11012267,s,1,0.7288704999998572,728.8704999998572,871.3733282999999,872.11012267,872.1132783,873.45143317,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
,,,,2,0,2,0,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,5.0,m,027_o_m_s_a.jpg,sad,a,1,3,873.4514806,873.75174537,873.7847749,873.79310147,873.7940845,873.8292473700001,873.8286274,874.2213482699999,s,0,0.3778062999999747,377.8062999999747,873.8286274,874.2213482699999,874.2248280000001,876.0850612700001,EMOCONPILOT024,2021_Feb_18_1020,EmoCon_Pilot_120Hz,2020.2.4,120.11146343806222,
