trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.0,m,008_y_m_n_a.jpg,neutral,s,17,3,3371.4176020000014,3371.716868970025,3371.935451600002,3372.0947519699753,3372.0994538000086,3372.1397389699764,3372.1447874000296,3372.419431069988,a,0,0.2607956000138074,260.7956000138074,3372.1447874000296,3372.419431069988,3372.4267130999942,3373.9838086700242,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11.0,f,030_o_f_h_a.jpg,happy,d,1,3,3373.9898689999827,3374.283848370024,3374.491592700011,3374.499912970007,3374.5007303999737,3374.5347869700113,3374.535077299981,3375.1007974700246,s,0,0.5584570000064559,558.4570000064559,3374.535077299981,3375.1007974700246,3375.1081903000013,3376.483792670019,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.0,m,013_y_m_h_a.jpg,happy,d,17,3,3376.4891813999857,3376.783908470016,3377.0117157999775,3377.1695780700015,3377.1742858000216,3377.2151800699708,3377.220223799988,3377.512879370019,d,1,0.2814265000051819,281.4265000051819,3377.220223799988,3377.512879370019,3377.525998600002,3379.0588335699927,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8.0,f,019_m_f_n_a.jpg,neutral,s,1,3,3379.0640002000146,3379.3588461700188,3379.602405100013,3379.610725370009,3379.610607600014,3379.6456792699814,3379.6452355000074,3380.0538615700266,s,1,0.40028519998304546,400.28519998304546,3379.6452355000074,3380.0538615700266,3380.065087600029,3381.9755984700228,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11.0,f,030_o_f_n_a.jpg,neutral,s,17,3,3381.9783945999807,3382.275609169976,3382.487284599978,3382.647414469981,3382.6521434999886,3382.693307570013,3382.6985369999893,3383.022765069973,a,0,0.3151386000099592,315.1386000099592,3382.6985369999893,3383.022765069973,3383.0343376999954,3384.5423014700123,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1.0,m,004_o_m_n_a.jpg,neutral,s,1,3,3384.548234099988,3384.8423943700095,3385.040216900001,3385.0485371699965,3385.050085900002,3385.0904781699705,3385.095687800029,3385.590672069992,s,1,0.48600610002176836,486.00610002176836,3385.095687800029,3385.590672069992,3385.6024372000247,3386.875530469994,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5.0,m,027_o_m_n_a.jpg,neutral,s,17,3,3386.8784747999744,3387.175776469993,3387.3738657999784,3387.54321087001,3387.547910800029,3387.588502270001,3387.5939706999925,3388.0484052699817,s,1,0.4435869999579154,443.5869999579154,3387.5939706999925,3388.0484052699817,3388.060036399984,3389.18411237002,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3.0,m,013_y_m_s_a.jpg,sad,a,1,3,3389.1900161000085,3389.4839870699857,3389.5110783000127,3389.5193985700084,3389.521833900013,3389.55917087,3389.5607099999906,3390.0513543699694,s,0,0.47720909997588024,477.20909997588024,3389.5607099999906,3390.0513543699694,3390.062335500028,3391.7840382700147,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_h_a.jpg,happy,d,1,3,3391.7880957000307,3392.084120269987,3392.298884299991,3392.307204569987,3392.3076441999874,3392.3480640699913,3392.3535125000053,3392.7479120700214,s,0,0.38007890002336353,380.07890002336353,3392.3535125000053,3392.7479120700214,3392.7546740000253,3394.259141270019,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7.0,f,012_o_f_s_a.jpg,sad,a,1,3,3394.266317899979,3394.5592332700094,3394.584723600012,3394.5930438700075,3394.5934063000022,3394.6296194699885,3394.6303120999946,3395.0238022700128,s,0,0.38319660001434386,383.19660001434386,3394.6303120999946,3395.0238022700128,3395.0328930999967,3396.6175292700123,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6.0,m,033_o_m_n_a.jpg,neutral,s,1,3,3396.6234843999846,3396.917591270007,3397.1267145000165,3397.135034770012,3397.137930899975,3397.1764347699996,3397.181603099976,3397.6784819699883,s,1,0.4880558999720961,488.0558999720961,3397.181603099976,3397.6784819699883,3397.688594600011,3399.19256936998,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
,,,,2,0,2,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7.0,f,012_o_f_s_a.jpg,sad,a,1,3,3399.1980500000063,3399.4926812700055,3399.517170700012,3399.5254909700075,3399.525954300014,3399.560292769986,3399.5617752000107,3400.0408054699715,s,0,0.46765020000748336,467.65020000748336,3399.5617752000107,3400.0408054699715,3400.0479915000033,3401.467561169999,EMOCONPILOT017,2021_Feb_23_1508,EmoCon_Pilot_120Hz,2020.2.4,119.86570242119392,
