trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.0,f,040_y_f_h_a.jpg,happy,d,3,1,125.74471540004015,126.03977668001316,126.0596566000022,126.08230418008752,126.08318249997683,126.11810498004779,126.11772139999084,126.74912718003615,d,1,0.6195251001045108,619.5251001045108,126.11772139999084,126.74912718003615,126.75630680005997,128.28155788006262,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,f,012_o_f_h_a.jpg,happy,d,17,1,128.2870644000359,128.5815396799706,128.6012536000926,128.7330536799971,128.73645330010913,128.7745277799666,128.7774923001416,129.17871898012237,d,1,0.39180040010251105,391.80040010251105,128.7774923001416,129.17871898012237,129.18856610008515,130.98987568002195,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_n_a.jpg,neutral,s,17,1,130.99385400000028,131.28984657996335,131.51405370002612,131.67548848008738,131.67901229998097,131.7199352799915,131.72518770000897,132.4933411799837,s,1,0.7561184999067336,756.1184999067336,131.72518770000897,132.4933411799837,132.5018502001185,134.26494238008746,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10.0,f,028_y_f_s_a.jpg,sad,a,17,1,134.2689740001224,134.5649584801402,134.60407200013287,134.7415828799829,134.74355330015533,134.7829407799989,134.7856942000799,135.56019028015436,a,1,0.7676778000313789,767.6778000313789,134.7856942000799,135.56019028015436,135.56881750002503,136.94820957998746,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10.0,f,028_y_f_h_a.jpg,happy,d,3,1,136.95110970013775,137.24834688003176,137.26647870009765,137.2892723800149,137.2901342001278,137.32656708005817,137.32649180013686,137.9660680801142,d,1,0.626723799854517,626.723799854517,137.32649180013686,137.9660680801142,137.97194760013372,139.62340118009598,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,f,021_o_f_h_a.jpg,happy,d,17,1,139.6237706001848,139.9234175800346,140.14540260005742,140.30257017998957,140.30598820000887,140.34416838008912,140.34727490018122,140.73806998012589,d,1,0.3741891998797655,374.1891998797655,140.34727490018122,140.73806998012589,140.74739890010096,142.37341797999107,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.0,m,033_o_m_h_a.jpg,happy,d,3,1,142.37847690004855,142.67341658002698,142.69244230003096,142.71547708003783,142.71592080011033,142.75225078007207,142.75393870007247,143.2951635801699,d,1,0.5272871998604387,527.2871998604387,142.75393870007247,143.2951635801699,143.3026899001561,145.14011828014628,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.0,m,004_o_m_h_a.jpg,happy,d,3,1,145.14373879996128,145.44016577997246,145.64671140001155,145.6720651799813,145.67227550013922,145.70802908013576,145.70809289999306,146.17707478017547,d,1,0.4614124000072479,461.4124000072479,145.70809289999306,146.17707478017547,146.1878929999657,147.50689068012872,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,147.51288080005907,147.80697097997182,148.03666150011122,148.06205238001422,148.06270710006356,148.09964007996024,148.10061750002205,149.18302218005994,a,1,1.068752999883145,1068.752999883145,148.10061750002205,149.18302218005994,149.19453179999255,150.99023847999052,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.0,m,016_y_m_s_a.jpg,sad,a,3,1,150.99403000017628,151.29036148004235,151.31052900012583,151.3333220800385,151.33383300015703,151.36808628002183,151.36791060003452,152.23957188003698,a,1,0.8574781999923289,857.4781999923289,151.36791060003452,152.23957188003698,152.25083020003513,153.71542898002082,EMOCONPILOT020,2021_Jan_04_1406,EmoCon_Pilot_120Hz,2020.2.4,120.20531077879798,
