trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2.0,m,008_y_m_h_a.jpg,happy,d,17,3,1018.8498626999972,1019.1452838799981,1019.1674293999968,1019.3052678799999,1019.3082787999992,1019.3466070799972,1019.349784799997,1020.3559362799991,d,1,1019.349784799997,1020.3559362799991,1020.3650955999983,1021.5369625799998,0.9895766000008734,989.5766000008734,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,1.0,m,004_o_m_n_a.jpg,neutral,s,17,3,1021.5398924000001,1021.836955279998,1022.0530244000001,1022.2227495799983,1022.2272961999988,1022.2682013799989,1022.273232399999,1022.7608684799983,s,1,1022.273232399999,1022.7608684799983,1022.7671975999983,1024.1453971799988,0.47433120000277995,474.33120000277995,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,7.0,f,012_o_f_h_a.jpg,happy,d,1,3,1024.1507420999988,1024.4453630800003,1024.467636399997,1024.4759805799972,1024.4775072999983,1024.5139040799972,1024.5154038,1026.208183379999,None,0,1024.5154038,1026.208183379999,1026.2157537999992,1027.6037319800002,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,9.0,f,021_o_f_h_a.jpg,happy,d,1,3,1027.6065619,1027.9037842799976,1028.1148334999998,1028.12317768,1028.1236355,1028.1589097799974,1028.1586812999994,1029.7475635799988,None,0,1028.1586812999994,1029.7475635799988,1029.7515249999997,1031.5038680799976,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,10.0,f,028_y_f_h_a.jpg,happy,d,1,3,1031.5098018999997,1031.8040125799985,1031.826181999997,1031.8345261799973,1031.835243499998,1031.8717307799984,1031.8716714999973,1033.5287773799996,None,0,1031.8716714999973,1033.5287773799996,1033.5334965999973,1034.537265579997,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,4.0,m,016_y_m_s_a.jpg,sad,a,17,3,1034.5415011999976,1034.8372475799974,1034.8590541999984,1034.9973007799986,1035.0016871999978,1035.0427349799998,1035.0480269,1035.5881825799975,a,1,1035.0480269,1035.5881825799975,1035.598997099998,1037.1372973799976,0.5233451000021887,523.3451000021887,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,6.0,m,033_o_m_s_a.jpg,sad,a,17,3,1037.1416207999973,1037.4372837799988,1037.452999699999,1037.58901998,1037.5921138999984,1037.6302283799982,1037.633424599997,1038.1388774799984,a,1,1037.633424599997,1038.1388774799984,1038.146653599997,1039.420749479998,0.4979349999994156,497.9349999994156,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,12.0,f,040_y_f_s_a.jpg,sad,a,17,3,1039.4267407999978,1039.7207479800004,1039.7423550999993,1039.880910479997,1039.8854214999992,1039.9259721799995,1039.9308630999985,1040.388013479997,a,1,1039.9308630999985,1040.388013479997,1040.4005941999967,1041.6456787800003,0.448561699999118,448.561699999118,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,3.0,m,013_y_m_s_a.jpg,sad,a,1,3,1041.6486747999988,1041.9457659799978,1041.965962899998,1041.9743070799982,1041.9746474999993,1042.0109291799986,1042.0113279999969,1043.1647818799997,a,1,1042.0113279999969,1043.1647818799997,1043.1765253999984,1044.3957890799998,1.1441114999979618,1144.1114999979618,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
,,,,2,0,2,0,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,2.0,m,008_y_m_s_a.jpg,sad,a,1,3,1044.4010347999974,1044.6958513800005,1044.9407814999977,1044.949125679998,1044.9493584999982,1044.9844278799997,1044.9841960999984,1046.5614328799988,None,0,1044.9841960999984,1046.5614328799988,1046.5664047999999,1047.5708539799984,,,EMOCONPILOT015,2021_Feb_18_1629,EmoCon_Pilot_120Hz,2020.2.4,119.98809718266654,
