trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.0,f,040_y_f_h_a.jpg,happy,d,17,1,606.6436454,606.93978393,606.9652404999999,607.0997654299999,607.1034119999999,607.1415021299999,607.1446621,607.6484317300001,d,1,0.49381930000004104,493.81930000004104,607.1446621,607.6484317300001,607.6582849000001,609.33153743,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,f,012_o_f_h_a.jpg,happy,d,3,1,609.3356213,609.6311429299999,609.6414554,609.6656541299999,609.6666594000001,609.7026802299999,609.7025891999999,610.2104368299999,d,1,0.4957480000000487,495.7480000000487,609.7025891999999,610.2104368299999,610.2147411000001,612.15659443,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_n_a.jpg,neutral,s,3,1,612.1606201,612.4565217300001,612.6817893,612.70816313,612.708912,612.7447052299999,612.7447533,613.64583393,s,1,0.8936977000000752,893.6977000000752,612.7447533,613.64583393,613.6543054000001,614.9316265299999,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10.0,f,028_y_f_s_a.jpg,sad,a,17,1,614.9376682,615.2316357299999,615.2787351,615.41679843,615.4216736000001,615.4577242299999,615.4578079,616.23595903,a,1,0.7645880000000034,764.5880000000034,615.4578079,616.23595903,616.2426150000001,617.50662263,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10.0,f,028_y_f_h_a.jpg,happy,d,17,1,617.5106724,617.80652373,617.8218136,617.9581211299999,617.958901,617.9994072300001,617.9990968,618.4655023299999,d,1,0.45528250000006665,455.28250000006665,617.9990968,618.4655023299999,618.4684543999999,619.83142883,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,f,021_o_f_h_a.jpg,happy,d,17,1,619.8328495000001,620.13137183,620.3863945,620.55558223,620.5566263000001,620.5929110300001,620.5936093,620.8985747300001,d,1,0.2926503999999568,292.6503999999568,620.5936093,620.8985747300001,620.9024377000001,622.48990213,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.0,m,033_o_m_h_a.jpg,happy,d,17,1,622.4900930000001,622.78977343,622.8064379,622.94145153,622.9423155,622.9827988300001,622.9821109,623.28190113,d,1,0.2883387000001676,288.3387000001676,622.9821109,623.28190113,623.2847676000001,624.71476063,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.0,m,004_o_m_h_a.jpg,happy,d,3,1,624.7150234000001,625.01477993,625.2246468999999,625.2510218299999,625.2510069,625.2871653299999,625.2871890000001,625.8380210299999,d,1,0.5431211999998595,543.1211999998595,625.2871890000001,625.8380210299999,625.8412949000001,627.24817863,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,627.2485624000001,627.5483106300001,627.7739891000001,627.92450003,627.9248818000001,627.96132943,627.9612387,628.6903404300001,a,1,0.7170840999999655,717.0840999999655,627.9612387,628.6903404300001,628.6937295,630.37320503,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.0,m,016_y_m_s_a.jpg,sad,a,17,1,630.3731535,630.6733093299999,630.6857775999999,630.81694103,630.8176226,630.85789623,630.8575329,631.3153329300001,a,1,0.4447551000000658,444.7551000000658,630.8575329,631.3153329300001,631.3177234,633.30655703,EMOCONPILOT009,2020_Dec_12_1007,EmoCon_Pilot_120Hz,2020.2.4,120.25633841109189,
