trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.0,f,040_y_f_h_a.jpg,happy,d,17,1,509.2138095999835,509.5084083900671,509.531468900037,509.668612490024,509.6731282999972,509.71365739005853,509.71892560005654,510.3482484900975,d,1,0.6200534999370575,620.0534999370575,509.71892560005654,510.3482484900975,510.35981990001164,511.9585331900395,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,f,012_o_f_h_a.jpg,happy,d,3,1,511.96449899999425,512.2584795900272,512.2836940999841,512.3055021899869,512.3064440999879,512.3429062900483,512.3428811000194,513.2027444900829,d,1,0.8439563000574708,843.9563000574708,512.3428811000194,513.2027444900829,513.2120752000483,515.0502140900004,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_n_a.jpg,neutral,s,3,1,515.0556197999977,515.3502084900043,515.571383500006,515.5969279900543,515.5970573000377,515.6347125901026,515.6360811999766,516.4914759900072,s,1,0.8467695999424905,846.7695999424905,515.6360811999766,516.4914759900072,516.498271599994,517.7085539900814,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10.0,f,028_y_f_s_a.jpg,sad,a,3,1,517.7138599000173,518.0085798900924,518.0336154000834,518.0562459900626,518.0568615000229,518.0930944900844,518.0930516000371,518.9708121900563,s,0,0.8616744000464678,861.6744000464678,518.0930516000371,518.9708121900563,518.9791844000574,520.700295690063,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10.0,f,028_y_f_h_a.jpg,happy,d,17,1,520.7044129000278,521.0003080900875,521.0202749000164,521.1521169900312,521.1557054000441,521.1941013900447,521.1991857000394,521.6642924900749,d,1,0.4518122000154108,451.8122000154108,521.1991857000394,521.6642924900749,521.674814100028,522.883661590016,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,f,021_o_f_h_a.jpg,happy,d,17,1,522.8879034999991,523.1836581900367,523.4678597000893,523.6264238900854,523.6265865000896,523.6627141900477,523.6626853999915,524.1752332900302,d,1,0.5003508999943733,500.3508999943733,523.6626853999915,524.1752332900302,524.1821088000434,525.8754042900051,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.0,m,033_o_m_h_a.jpg,happy,d,17,1,525.8795903000282,526.1753979900037,526.1912638000213,526.3270651900326,526.3315234000329,526.3723008900066,526.3774855000665,526.8673900900991,d,1,0.47340369992889464,473.40369992889464,526.3774855000665,526.8673900900991,526.88006580004,528.3589121900383,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.0,m,004_o_m_h_a.jpg,happy,d,17,1,528.3646383000305,528.658828290028,528.862234900007,529.0212582900073,529.0250496000517,529.0628440900124,529.0682340000058,529.4345736900228,d,1,0.35863250005058944,358.63250005058944,529.0682340000058,529.4345736900228,529.4460978000425,530.6004265900352,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,530.6033015000867,530.9005269900314,531.1329996000277,531.1575373900938,531.1577388000442,531.1933057900402,531.1934390000533,532.4670235900791,s,0,1.2574810999212787,1257.4810999212787,531.1934390000533,532.4670235900791,532.4763242000481,533.8671665900271,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.0,m,016_y_m_s_a.jpg,sad,a,3,1,533.8702064000536,534.167156389996,534.1902217000024,534.2123549900367,534.2132800000254,534.2517657900113,534.2531233000336,535.0609104900738,s,0,0.7976021999493241,797.6021999493241,534.2531233000336,535.0609104900738,535.0681284000166,537.0339348900249,EMOCONPILOT011,2020_Dec_30_1611,EmoCon_Pilot_120Hz,2020.2.4,120.0026399664208,
