trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.rt,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,104.48706900002435,104.78297861004248,105.01489120000042,105.04147070986218,105.0459582998883,105.08621021001599,105.09068829985335,106.28542241002432,d,1,1.1839288000483066,1183.9288000483066,105.09068829985335,106.28542241002432,106.29190419986844,108.2495213098824,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.0,m,033_o_m_h_a.jpg,happy,d,3,1,108.2500463000033,108.54972070981748,108.57554530003108,108.59801770993508,108.59810489998199,108.63419110993854,108.63432720000856,109.86685590995475,d,1,1.224238800117746,1224.238800117746,108.63432720000856,109.86685590995475,109.87273989990354,111.49142690994776,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.0,m,004_o_m_h_a.jpg,happy,d,17,1,111.49438499985263,111.79151910999789,112.0101091999095,112.17674240996129,112.18161949981004,112.22255880981683,112.22774869995192,112.8648633099161,d,1,0.6229105999227613,622.9105999227613,112.22774869995192,112.8648633099161,112.86799920001067,114.73316721003502,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,114.73370400001295,115.03319340981542,115.27274389984086,115.42622850988991,115.43102459982038,115.47194050988182,115.47738679987378,116.30492970990016,a,1,0.8133659998420626,813.3659998420626,115.47738679987378,116.30492970990016,116.31641069985926,118.12504161000251,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.0,m,016_y_m_s_a.jpg,sad,a,3,1,118.13054779986851,118.42493860996328,118.44688049983233,118.46909070983529,118.46914329985157,118.50946370991878,118.51094860001467,119.3132606098894,a,1,0.7878875001333654,787.8875001333654,118.51094860001467,119.3132606098894,119.3230043000076,120.89995680996216,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,120.90387789998204,121.19998500999063,121.2254232999403,121.36007110998034,121.36364410002716,121.40200990987941,121.40513699990697,122.01037010983563,d,1,0.5895636000204831,589.5636000204831,121.40513699990697,122.01037010983563,122.02019159984775,123.31686590998433,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,123.31666719983332,123.6167525098659,123.64800799987279,123.67033730996772,123.6712006998714,123.70955290985293,123.71108489995822,124.42690430991351,d,1,0.7077577000018209,707.7577000018209,123.71108489995822,124.42690430991351,124.43256949982606,126.04998710998333,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.0,m,016_y_m_n_a.jpg,neutral,s,3,1,126.0527464998886,126.35004620989784,126.59008789993823,126.61610620995052,126.61712939990684,126.65118741001933,126.65116429980844,127.59617970990948,s,1,0.9356543999165297,935.6543999165297,126.65116429980844,127.59617970990948,127.6037300999742,129.49179480983875,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.0,m,016_y_m_h_a.jpg,happy,d,3,1,129.49601769982837,129.79185550999827,129.80515979998745,129.82709550987929,129.8279671999626,129.86813590992242,129.86974340002052,131.07515451000071,d,1,1.1971680000424385,1197.1680000424385,129.86974340002052,131.07515451000071,131.08806640002877,132.21686160997487,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,132.22235629986972,132.51690010996535,132.53783649997786,132.6685351099819,132.67152229999192,132.70996680986136,132.71398769994266,134.17008550991304,d,1,1.4405898000113666,1440.5898000113666,132.71398769994266,134.17008550991304,134.17486259993166,135.3586994098965,EMOCONPILOT018,2021_Jan_04_1305,EmoCon_Pilot_120Hz,2020.2.4,119.97600483979348,
