trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.0,f,040_y_f_h_a.jpg,happy,d,3,1,98.95114690018818,99.24567288013641,99.29331880016252,99.31525088001509,99.31715410016477,99.35510457998608,99.35514620016329,100.27474958000239,d,1,99.35514620016329,100.27474958000239,100.27770490013063,101.3123843799578,0.9123422999400645,912.3422999400645,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,f,012_o_f_h_a.jpg,happy,d,17,1,101.31646720017307,101.61239758010488,101.6367683999706,101.77240698009264,101.77520889998414,101.81369628005196,101.81682540010661,102.5873685799772,d,1,101.81682540010661,102.5873685799772,102.59386810008436,104.17068008000497,0.754814499989152,754.814499989152,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_n_a.jpg,neutral,s,17,1,104.17061999998987,104.47075388014783,104.69273960008286,104.84903158007656,104.8519717999734,104.88927758012433,104.89194510015659,105.55865448007826,s,1,104.89194510015659,105.55865448007826,105.56068590003997,106.99582708014641,0.6554545999970287,655.4545999970287,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10.0,f,028_y_f_s_a.jpg,sad,a,3,1,107.00103839999065,107.29594138001558,107.32056390005164,107.34261838013772,107.34352550003678,107.38018008011859,107.38050070009194,108.11991248016712,a,1,107.38050070009194,108.11991248016712,108.12821720005013,109.3292427800363,0.7272316000889987,727.2316000889987,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10.0,f,028_y_f_h_a.jpg,happy,d,3,1,109.33343160012737,109.62922028002795,109.65280649997294,109.67562767995987,109.6765585001558,109.71393898006063,109.71654599998146,110.7042194799753,d,1,109.71654599998146,110.7042194799753,110.70780039997771,112.45437127996702,0.9747412002179772,974.7412002179772,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,112.4614713001065,112.75436518008355,113.01050760014914,113.03619038003963,113.03640300012194,113.07254157999996,113.07286920002662,114.59803118014243,None,0,113.07286920002662,114.59803118014243,114.60226500011049,116.4042488801526,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.0,m,033_o_m_h_a.jpg,happy,d,3,1,116.40724970004521,116.70436368014198,116.74438110017218,116.76867128016893,116.77292440016754,116.8134304801235,116.81857560016215,118.52907307997812,None,0,116.81857560016215,118.52907307997812,118.53403680003248,119.97117648010608,,,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.0,m,004_o_m_h_a.jpg,happy,d,3,1,119.97434179997072,120.27116548006889,120.510576199973,120.53800798014272,120.54147729999386,120.5804398799548,120.58576130005531,121.6810339800315,d,1,120.58576130005531,121.6810339800315,121.68678870005533,123.34622948004399,1.0816478999331594,1081.6478999331594,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,123.35166200017557,123.64626958004665,123.88442700006999,123.90991407998372,123.91026560007595,123.94745108012576,123.9485629000701,124.78223158016336,a,1,123.9485629000701,124.78223158016336,124.78872240008786,125.9046247801045,0.8229130001273006,822.9130001273006,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.0,m,016_y_m_s_a.jpg,sad,a,3,1,125.9099219001364,126.20460998003837,126.23201460018754,126.25482627998572,126.25543370004743,126.29167078009341,126.29197040013969,127.15451357995626,a,1,126.29197040013969,127.15451357995626,127.16280390019529,128.74641307995188,0.847531900042668,847.531900042668,EMOCONPILOT016,2021_Jan_04_1202,EmoCon_Pilot_120Hz,2020.2.4,120.03476222004338,
