trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,2.0,m,008_y_m_s_a.jpg,sad,a,17,3,1184.2796528998297,1184.573391059856,1184.8200357998721,1184.9777202598984,1184.9823767000344,1185.0230910598534,1185.0283116998617,1185.465357259824,a,1,1185.0283116998617,1185.465357259824,1185.4736903999,1186.9650539599593,0.4216678999364376,421.6678999364376,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,7.0,f,012_o_f_s_a.jpg,sad,a,1,3,1186.9704153998755,1187.2650735599223,1187.2901707999408,1187.2985269599362,1187.2993796998635,1187.3347377599916,1187.3343281999696,1188.8802022598452,None,0,1187.3343281999696,1188.8802022598452,1188.884177000029,1190.6651969598374,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,7.0,f,012_o_f_h_a.jpg,happy,d,1,3,1190.6711329000536,1190.965199260018,1190.989258900052,1190.9976150600473,1190.9978018000256,1191.0349630599144,1191.0356635998469,1192.676634059963,None,0,1191.0356635998469,1192.676634059963,1192.6826867999043,1194.2651806599229,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,10.0,f,028_y_f_n_a.jpg,neutral,s,17,3,1194.2693471999373,1194.5651635599556,1194.7673009999562,1194.9257032598603,1194.9304418000393,1194.9713516598335,1194.9764695998747,1195.6060551600299,s,1,1194.9764695998747,1195.6060551600299,1195.6175998998806,1197.473582060053,0.6175400998909026,617.5400998909026,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,9.0,f,021_o_f_n_a.jpg,neutral,s,17,3,1197.4782008999027,1197.7735802598531,1197.9836911999155,1198.1443964598934,1198.149383299984,1198.1903267600342,1198.19530939986,1198.6748929598602,s,1,1198.19530939986,1198.6748929598602,1198.6863456999417,1200.3569693600061,0.46282820007763803,462.82820007763803,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,6.0,m,033_o_m_s_a.jpg,sad,a,1,3,1200.3611299998593,1200.656969459937,1200.6789096000139,1200.6872657600093,1200.6879461000208,1200.7248557598564,1200.7246455999557,1202.3589246598772,None,0,1200.7246455999557,1202.3589246598772,1202.3655109000392,1204.1570986599895,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,1.0,m,004_o_m_s_a.jpg,sad,a,17,3,1204.1625071000308,1204.4570981599159,1204.4815187999047,1204.6170761598974,1204.6198590998538,1204.6582870599582,1204.6620236998424,1205.1488952599234,a,1,1204.6620236998424,1205.1488952599234,1205.1595401999075,1206.2321997598979,0.4760029998142272,476.0029998142272,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,7.0,f,012_o_f_n_a.jpg,neutral,s,17,3,1206.2381396999117,1206.5322408599081,1206.8739201000426,1207.035836959933,1207.0392926998902,1207.078823860013,1207.0839639999904,1207.6771506599384,s,1,1207.0839639999904,1207.6771506599384,1207.6818649999332,1209.5572773599765,0.5818857001140714,581.8857001140714,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,4.0,m,016_y_m_h_a.jpg,happy,d,1,3,1209.5626381000038,1209.8573037599913,1209.8827881999314,1209.8911443599268,1209.8920872998424,1209.9275861598785,1209.9272372999694,1211.648502759845,None,0,1209.9272372999694,1211.648502759845,1211.6555323000066,1213.2323394599139,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
,,,,2,0,2,0,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5.0,m,027_o_m_s_a.jpg,sad,a,1,3,1213.2383801999968,1213.532277059951,1213.5474182998296,1213.555774459825,1213.5556948999874,1213.591659559845,1213.5916395999957,1215.3288415600314,None,0,1213.5916395999957,1215.3288415600314,1215.3355592999142,1216.3990418598755,,,EMOCONPILOT014,2021_Jan_13_1630,EmoCon_Pilot_120Hz,2020.2.4,119.98061120907352,
