trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,key_resp_example.rt,key_resp_example.rt in ms,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1.0,m,004_o_m_h_a.jpg,happy,d,17,3,1603.1939414000371,1603.4888144999277,1603.6885811999673,1603.8473553999793,1603.8519546999596,1603.8927523000166,1603.8971493999707,1604.8515089999419,d,1,1603.8971493999707,1604.8515089999419,1604.8587549999356,1606.672200400033,0.9413257000269368,941.3257000269368,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,8.0,f,019_m_f_h_a.jpg,happy,d,17,3,1606.6762320999987,1606.972198799951,1606.996333100018,1607.1322381999344,1607.135629800032,1607.1755192999262,1607.1799697999377,1607.5575482000131,d,1,1607.1799697999377,1607.5575482000131,1607.5644095999887,1608.963961499976,0.3625003000488505,362.5003000488505,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,6.0,m,033_o_m_s_a.jpg,sad,a,17,3,1608.9690933999373,1609.2639910000144,1609.2862561999355,1609.423988000024,1609.4276313999435,1609.4651444000192,1609.468384000007,1610.2151037999429,s,0,1609.468384000007,1610.2151037999429,1610.2185688000172,1611.5140625999775,0.7379579999251291,737.9579999251291,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1.0,m,004_o_m_h_a.jpg,happy,d,17,3,1611.5192299999762,1611.8140345999273,1612.1382506999653,1612.298266800004,1612.302995200036,1612.3441198000219,1612.3494377000025,1613.2139967000112,d,1,1612.3494377000025,1613.2139967000112,1613.2258406999754,1614.5724406000227,0.8569662999361753,856.9662999361753,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,3.0,m,013_y_m_h_a.jpg,happy,d,17,3,1614.5769522000337,1614.8723920999328,1615.1142664999934,1615.2711704999674,1615.275221799966,1615.3154676000122,1615.3205584000098,1616.1333625999978,d,1,1615.3205584000098,1616.1333625999978,1616.144524400006,1617.797536600032,0.8059063999680802,805.9063999680802,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,12.0,f,040_y_f_n_a.jpg,neutral,s,17,3,1617.802847199957,1618.097413099953,1618.299521900015,1618.4658748999937,1618.470553799998,1618.511070700013,1618.5160573000321,1618.9968693000264,s,1,1618.5160573000321,1618.9968693000264,1619.0071439000312,1620.4641861999407,0.4664224999723956,466.4224999723956,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,2.0,m,008_y_m_h_a.jpg,happy,d,17,3,1620.4684361999389,1620.7641894000117,1620.7814317999873,1620.9158380000154,1620.918787100003,1620.9571052999236,1620.9601563999895,1621.5331532999408,d,1,1620.9601563999895,1621.5331532999408,1621.5399553999305,1622.9559063999914,0.5662706000730395,566.2706000730395,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,4.0,m,016_y_m_s_a.jpg,sad,a,17,3,1622.9602061000187,1623.255912499968,1623.2799479999812,1623.415899100015,1623.4194881999865,1623.4585724000353,1623.4638359999517,1624.3987390999682,a,1,1623.4638359999517,1624.3987390999682,1624.4064198000124,1626.1143989999546,0.9186498000053689,918.6498000053689,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,6.0,m,033_o_m_s_a.jpg,sad,a,1,3,1626.1196962000104,1626.4144124999875,1626.4296763000311,1626.4380238000304,1626.438867299934,1626.4738467999268,1626.4740702999989,1628.0943386999425,None,0,1626.4740702999989,1628.0943386999425,1628.0991597999819,1629.5310530000133,,,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
,,,,2,0,2,0,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,8.0,f,019_m_f_s_a.jpg,sad,a,17,3,1629.5354372999864,1629.8311307999538,1630.096004699939,1630.2564467999619,1630.2611019000178,1630.3009583000094,1630.305505999946,1631.4694250000175,a,1,1630.305505999946,1631.4694250000175,1631.4778558999533,1632.506106399931,1.1569376999977976,1156.9376999977976,EMOCONPILOT007,2020_Dec_30_1509,EmoCon_Pilot_120Hz,2020.2.4,119.81414427901761,
