trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,key_resp_study.rt,key_resp_study.rt in ms,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,12.0,f,040_y_f_s_a.jpg,sad,a,17,1,493.0735016999997,493.3691889400003,493.38798680000036,493.52106974000037,493.5245672000001,493.5628960399996,493.56691630000023,494.5434153399998,a,1,493.56691630000023,494.5434153399998,494.5544096000003,496.1108945399998,0.964939499999673,964.939499999673,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,3.0,m,013_y_m_n_a.jpg,neutral,s,3,1,496.1150796000002,496.4110306400004,496.6551091000001,496.68102343999965,496.6814998,496.71709754000005,496.7185767000001,497.6407216399999,s,1,496.7185767000001,497.6407216399999,497.64734130000033,499.3193341399998,0.9091744000006656,909.1744000006656,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,12.0,f,040_y_f_s_a.jpg,sad,a,17,1,499.3246803000002,499.6194654400002,499.6461521000001,499.77928273999953,499.7822820000001,499.8205969400002,499.8236471,500.67498813999975,a,1,499.8236471,500.67498813999975,500.6842913999999,502.46926443999985,0.8442036999995253,844.2036999995253,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,6.0,m,033_o_m_s_a.jpg,sad,a,17,1,502.47201549999954,502.76937064000015,502.78859889999967,502.9210573400002,502.92616889999954,502.9665664399996,502.9716731999997,503.6207975399999,a,1,502.9716731999997,503.6207975399999,503.63243599999987,505.5027427399997,0.6405784999997195,640.5784999997195,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,2.0,m,008_y_m_s_a.jpg,sad,a,17,1,505.5080863000003,505.8027811400003,506.2693812999996,506.4375065399996,506.4412752999997,506.4810605400004,506.4856157000004,507.01059794000014,a,1,506.4856157000004,507.01059794000014,507.0188618000002,508.0195257399997,0.510628999999426,510.628999999426,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,508.02427850000004,508.31943404000015,508.5463440000003,508.7076614399999,508.71098619999975,508.7519212399999,508.7570075000003,509.2431341400003,a,1,508.7570075000003,509.2431341400003,509.2555851999996,511.0444560399998,0.47883289999936096,478.83289999936096,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,9.0,f,021_o_f_n_a.jpg,neutral,s,3,1,511.04473789999975,511.34451374,511.5456127999996,511.57380543999955,511.5784814999997,511.6191399400001,511.6241467,512.8304470399995,s,1,511.6241467,512.8304470399995,512.8416811999996,514.0445544399996,1.1956589000001259,1195.6589000001259,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,514.0485507000003,514.3446138400001,514.5451691999997,514.70379354,514.7086178999998,514.7492431400002,514.7536602,515.2516857400002,d,1,514.7536602,515.2516857400002,515.2623075000001,516.8279775400002,0.4823295000005601,482.3295000005601,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,516.8329415999997,517.1280282399999,517.3469122999995,517.3727070399997,517.3735433000002,517.4096780400001,517.4102209000002,518.6917123399995,d,0,517.4102209000002,518.6917123399995,518.7012521999995,519.94473514,1.273605100000168,1273.605100000168,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,12.0,f,040_y_f_s_a.jpg,sad,a,17,1,519.9501798000001,520.2446885400001,520.2557355999998,520.3880611399996,520.3893889000001,520.42921524,520.4303916999997,521.6612532400001,a,1,520.4303916999997,521.6612532400001,521.6678136,522.6694526400003,1.2215071000000535,1221.5071000000535,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,522.6694839000002,522.9697836399997,523.2351981000002,523.3858604399999,523.3887346000001,523.4260905400002,523.4289571999998,523.8834200400003,s,1,523.4289571999998,523.8834200400003,523.8924274000001,524.9197490399998,0.43890190000001894,438.90190000001894,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,101,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,524.9226837999995,525.2198101399996,525.4219175999997,525.5840526400003,525.5886763999997,525.6293730399999,525.6342665000002,526.59038664,a,1,525.6342665000002,526.59038664,526.6035558000003,528.3115956400003,0.9455575999991197,945.5575999991197,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,102,0,102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,3.0,m,013_y_m_h_a.jpg,happy,d,3,1,528.3157254999996,528.6116398399996,528.8294900999999,528.8553164399997,528.8559931,528.8915499399997,528.8933877,529.6642252400003,d,1,528.8933877,529.6642252400003,529.6743948000003,531.3866783399995,0.7585788999995202,758.5788999995202,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,531.3926832999996,531.68659524,531.9237855000001,531.9490424399997,531.949721,531.9859035400001,531.9853799000002,532.7963158400004,a,1,531.9853799000002,532.7963158400004,532.8067620000002,534.5449708399998,0.794673999999759,794.673999999759,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,104,0,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,11.0,f,030_o_f_s_a.jpg,sad,a,17,1,534.5491792000003,534.84492354,535.0582371,535.2151493400003,535.2178685999997,535.2548201400001,535.2574234000003,535.9517295399997,a,1,535.2574234000003,535.9517295399997,535.9611814999998,537.11173724,0.682329799999934,682.329799999934,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,105,0,105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,4.0,m,016_y_m_h_a.jpg,happy,d,3,1,537.1170965000001,537.4118154399999,537.4376150999997,537.4604137399998,537.4608527,537.4961007400003,537.4962992000001,538.2556738399995,d,1,537.4962992000001,538.2556738399995,538.2637262999997,539.5951469400003,0.7474449999999706,747.4449999999706,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,106,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,7.0,f,012_o_f_n_a.jpg,neutral,s,17,1,539.5990439999996,539.8951930399995,540.1201420999996,540.2915192400002,540.2963902000001,540.3364319400004,540.3414511000001,541.2327185399996,s,1,540.3414511000001,541.2327185399996,541.2379914000003,542.4785245399995,0.8781211999994412,878.1211999994412,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
,,,,0,0,0,0,107,0,107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,542.4832912000002,542.7784681399995,542.9800690000002,543.13570124,543.1389146000001,543.17614414,543.1798253999996,544.3155157400003,d,1,543.1798253999996,544.3155157400003,544.3261739999998,545.77024494,1.1279211000000942,1127.9211000000942,EMOCONPILOT022,2021_Feb_18_1118,EmoCon_Pilot_120Hz,2020.2.4,119.89501992026129,
