trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,7.0,f,012_o_f_n_a.jpg,neutral,s,1,3,1168.4797702999786,1168.7754556100467,1168.9842235000106,1168.9925648100093,1168.9927250000183,1169.0293297099765,1169.0294625000097,1169.611734409968,s,1,0.565302100032568,565.302100032568,1169.0294625000097,1169.611734409968,1169.6246133999666,1170.9671659099754,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,1.0,m,004_o_m_h_a.jpg,happy,d,17,3,1170.9725047000684,1171.2671678100364,1171.467618099996,1171.6262977100328,1171.6312828999944,1171.672185609967,1171.6773790000007,1172.074678809999,d,1,0.38160800002515316,381.60800002515316,1171.6773790000007,1172.074678809999,1172.08454229997,1173.933862910059,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,8.0,f,019_m_f_h_a.jpg,happy,d,1,3,1173.9379715999821,1174.2339448100306,1174.2589886999922,1174.267330009991,1174.267715199967,1174.3049229099765,1174.3056800999912,1175.0116126099952,s,0,0.6971032000146806,697.1032000146806,1174.3056800999912,1175.0116126099952,1175.0211171000265,1176.4257002100699,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,6.0,m,033_o_m_s_a.jpg,sad,a,1,3,1176.4313181000762,1176.7256342100795,1176.7455259000417,1176.7538672100404,1176.7542550000362,1176.7890759100324,1176.7888016999932,1177.3370697100531,s,0,0.5340265000704676,534.0265000704676,1176.7888016999932,1177.3370697100531,1177.3454304999905,1178.8923940100126,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1.0,m,004_o_m_h_a.jpg,happy,d,17,3,1178.8981599999825,1179.1923022100586,1179.6055191999767,1179.764435410069,1179.7694945000112,1179.8105919100694,1179.8156902000774,1180.2740672100686,d,1,0.4432396999327466,443.2396999327466,1179.8156902000774,1180.2740672100686,1180.2852934000548,1181.3672618100304,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,3.0,m,013_y_m_h_a.jpg,happy,d,1,3,1181.3701383000007,1181.6674960099976,1181.9081604999956,1181.9165018099943,1181.9174347000662,1181.9522165099975,1181.952565100044,1182.7710651100265,s,0,0.8101781000150368,810.1781000150368,1181.952565100044,1182.7710651100265,1182.7817946000723,1184.3757858099766,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,12.0,f,040_y_f_n_a.jpg,neutral,s,1,3,1184.3805241000373,1184.6757376100054,1184.8801592000527,1184.8885005100515,1184.8932576000225,1184.9302444099799,1184.933272800059,1185.5446319100797,d,0,0.5973377999616787,597.3377999616787,1184.933272800059,1185.5446319100797,1185.5468316000188,1187.350855210016,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,2.0,m,008_y_m_h_a.jpg,happy,d,1,3,1187.3563484000042,1187.650836410036,1187.6725936000003,1187.680934909999,1187.680935200071,1187.7187446100056,1187.7187519000145,1188.2613688100014,d,1,0.5320427999831736,532.0427999831736,1187.7187519000145,1188.2613688100014,1188.2695988999913,1190.0592124100426,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,4.0,m,016_y_m_s_a.jpg,sad,a,1,3,1190.0632994000334,1190.359194210067,1190.3833964000223,1190.391737710021,1190.392805300071,1190.4284214100685,1190.4281474000309,1190.912297509995,s,0,0.47071250004228204,470.71250004228204,1190.4281474000309,1190.912297509995,1190.9144266999792,1191.9176256100532,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
,,,,2,0,2,0,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,6.0,m,033_o_m_s_a.jpg,sad,a,17,3,1191.9234356000088,1192.2175933099702,1192.2398386000423,1192.3775656100247,1192.3817744000116,1192.4226091100486,1192.4276956999674,1193.1603872100009,s,0,0.719106899923645,719.106899923645,1192.4276956999674,1193.1603872100009,1193.170811900054,1195.084342810011,EMOCONPILOT006,2020_Dec_30_1414,EmoCon_Pilot_120Hz,2020.2.4,120.29120102822846,
