Person;primeGender;prime;primeEmotion;corrAnsPrime;targetPerson;targetGender;target;targetEmotion;Cond;corrAnsTar;gender;condition;ID_primer;ID_target;PrimerTime;PrimerTime120;JitterTime;conditionsFile;primePerson;emotion_condition;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;readinBlocks.thisRepN;readinBlocks.thisTrialN;readinBlocks.thisN;readinBlocks.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;maskImage.started;maskImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;text.started;text.stopped;key_resp_Rating.keys;key_resp_Rating.started;key_resp_Rating.stopped;text_start.started;text_start.stopped;text_pause.started;text_pause.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
;f;019_m_f_n_a.jpg;neutral;8;19;f;019_m_f_h_a.jpg;happy;incongruent;9;match;;140;150;;3;238;block1_Pilot_2;19;n_h;n_h_weak;;;;;0;0;0;0;0;16;16;16;;;;;;;;;172.73583700018935;None;174.74350229999982;175.03711710008793;175.03711710008793;175.06147120008245;175.06147120008245;175.10235080006532;175.10235080006532;None;None;0;175.10235080006532;None;176.60257910005748;None;None;176.60257910005748;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;028_y_f_n_a.jpg;neutral;8;30;f;030_o_f_s_a.jpg;sad;incongruent;7;match;;140;160;;18;219;block1_Pilot_2;28;n_s;n_s_weak;;;;;0;0;0;0;0;17;17;17;;;;;;;;;179.60309220012277;None;181.44829660002142;181.7373460000381;181.7373460000381;181.88666630000807;181.88666630000807;181.9274625000544;181.9274625000544;None;None;0;181.9274625000544;None;183.42749570007436;None;None;183.42749570007436;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;008_y_m_h_a.jpg;happy;9;8;m;008_y_m_s_a.jpg;sad;incongruent;7;match;;120;160;;3;176;block1_Pilot_2;8;h_s;h_s_weak;;;;;0;0;0;0;0;18;18;18;;;;;;;;;186.42767840018496;None;187.90169140021317;188.19525670004077;188.19525670004077;188.22009220020846;188.22009220020846;188.26088400022127;188.26088400022127;None;None;0;188.26088400022127;None;189.76086230017245;None;None;189.76086230017245;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;019_m_f_h_a.jpg;happy;9;33;m;033_o_m_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;18;136;block1_Pilot_2;19;h_n;h_n_weak;;;;;0;0;0;0;0;19;19;19;;;;;;;;;192.76106540020555;None;193.90274600009434;194.19536680006422;194.19536680006422;194.34523440012708;194.34523440012708;194.38614970003255;194.38614970003255;None;None;0;194.38614970003255;None;195.88603610009886;None;None;195.88603610009886;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;013_y_m_n_a.jpg;neutral;8;12;f;012_o_f_s_a.jpg;sad;incongruent;7;mismatch;;140;160;;2;132;block1_Pilot_2;13;n_s;n_s_strong;;;;;0;0;0;0;0;20;20;20;;;;;;;;;198.88642640016042;None;200.01096790004522;200.3041670001112;200.3041670001112;200.32041020016186;200.32041020016186;200.36113820015453;200.36113820015453;None;None;0;200.36113820015453;None;201.86130400002003;None;None;201.86130400002003;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;040_y_f_s_a.jpg;sad;7;8;m;008_y_m_h_a.jpg;happy;incongruent;9;mismatch;;130;150;;2;175;block1_Pilot_2;40;s_h;s_h_weak;;;;;0;0;0;0;0;21;21;21;;;;;;;;;204.86134700011462;None;206.3277709002141;206.62066730018705;206.62066730018705;206.63721070019528;206.63721070019528;206.67802480002865;206.67802480002865;None;None;0;206.67802480002865;None;208.17824190016836;None;None;208.17824190016836;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_s_a.jpg;sad;incongruent;7;mismatch;;120;160;;2;193;block1_Pilot_2;4;h_s;h_s_weak;;;;;0;0;0;0;0;22;22;22;;;;;;;;;211.1788800000213;None;212.80837060022168;213.1045537001919;213.1045537001919;213.12057890021242;213.12057890021242;213.1615081001073;213.1615081001073;None;None;0;213.1615081001073;None;214.66160860005766;None;None;214.66160860005766;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;f;028_y_f_s_a.jpg;sad;7;13;m;013_y_m_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;2;126;block1_Pilot_2;28;s_n;s_n_weak;;;;;0;0;0;0;0;23;23;23;;;;;;;;;217.66160660004243;None;218.7263040000107;219.02095980010927;219.02095980010927;219.037321300013;219.037321300013;219.0780490001198;219.0780490001198;None;None;0;219.0780490001198;None;220.57829740014859;None;None;220.57829740014859;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;004_o_m_h_a.jpg;happy;9;40;f;040_y_f_n_a.jpg;neutral;incongruent;8;mismatch;;120;170;;3;146;block1_Pilot_2;4;h_n;h_n_strong;;;;;0;0;0;0;0;24;24;24;;;;;;;;;223.5787196001038;None;224.81566530000418;225.10470880009234;225.10470880009234;225.12919520004652;225.12919520004652;225.17006080015562;225.17006080015562;None;None;0;225.17006080015562;None;226.66993309999816;None;None;226.66993309999816;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
;m;008_y_m_s_a.jpg;sad;7;30;f;030_o_f_n_a.jpg;neutral;incongruent;8;mismatch;;130;170;;3;132;block1_Pilot_2;8;s_n;s_n_strong;;;;;0;0;0;0;0;25;25;25;;;;;;;;;229.6702782001812;None;230.79339610016905;231.0882428002078;231.0882428002078;231.11266540014185;231.11266540014185;231.15369440009817;231.15369440009817;None;None;0;231.15369440009817;None;232.65337810013443;None;None;232.65337810013443;None;;;;;;;Emoconpilot031;2021_Nov_10_1210;BackwardMask;2020.2.8;120.08175149607206;
