Person,primeGender,prime,primeEmotion,corrAnsPrime,targetPerson,targetGender,target,targetEmotion,Cond,corrAnsTar,gender,condition,ID_primer,ID_target,PrimerTime,PrimerTime120,JitterTime,conditionsFile,primePerson,emotion_condition,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,readinBlocks.thisRepN,readinBlocks.thisTrialN,readinBlocks.thisN,readinBlocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,maskImage.started,maskImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,key_resp_Rating.keys,key_resp_Rating.started,key_resp_Rating.stopped,key_resp_Rating.rt,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,participant,date,expName,psychopyVersion,frameRate,
,f,019_m_f_n_a.jpg,neutral,8,19,f,019_m_f_h_a.jpg,happy,incongruent,9,match,,140,150,,3,238,block1_Pilot_2,19,n_h,n_h_weak,,,,,0,0,0,0,0,16,16,16,,,,,,,,,312.24274910008535,None,314.2523591001518,314.5435352001805,314.5435352001805,314.56770929996856,314.56770929996856,314.6088152001612,314.6088152001612,None,8,0,0.684829399921,314.6088152001612,None,316.10871409997344,None,['7'],316.10871409997344,None,[0.4328530998900533],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_n_a.jpg,neutral,8,30,f,030_o_f_s_a.jpg,sad,incongruent,7,match,,140,160,,18,219,block1_Pilot_2,28,n_s,n_s_weak,,,,,0,0,0,0,0,17,17,17,,,,,,,,,319.1096845001448,None,320.9549674000591,321.2436230999883,321.2436230999883,321.3931106000673,321.3931106000673,321.43379260017537,321.43379260017537,None,8,0,0.9957937998697162,321.43379260017537,None,322.9344060001895,None,['7'],322.9344060001895,None,[0.5669974000193179],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,008_y_m_h_a.jpg,happy,9,8,m,008_y_m_s_a.jpg,sad,incongruent,7,match,,120,160,,3,176,block1_Pilot_2,8,h_s,h_s_weak,,,,,0,0,0,0,0,18,18,18,,,,,,,,,325.9347310999874,None,327.4084463000763,327.7016410001088,327.7016410001088,327.7264290000312,327.7264290000312,327.76732910005376,327.76732910005376,None,9,0,0.654191100038588,327.76732910005376,None,329.2673611000646,None,['7'],329.2673611000646,None,[0.386234600096941],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,019_m_f_h_a.jpg,happy,9,33,m,033_o_m_n_a.jpg,neutral,incongruent,8,mismatch,,120,170,,18,136,block1_Pilot_2,19,h_n,h_n_weak,,,,,0,0,0,0,0,19,19,19,,,,,,,,,332.2676455001347,None,333.40897059999406,333.7016348000616,333.7016348000616,333.8517509000376,333.8517509000376,333.892336799996,333.892336799996,None,9,0,0.5691021999809891,333.892336799996,None,335.39253509999253,None,['7'],335.39253509999253,None,[0.4287233001086861],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,013_y_m_n_a.jpg,neutral,8,12,f,012_o_f_s_a.jpg,sad,incongruent,7,mismatch,,140,160,,2,132,block1_Pilot_2,13,n_s,n_s_strong,,,,,0,0,0,0,0,20,20,20,,,,,,,,,338.3927335999906,None,339.51569729996845,339.8105919000227,339.8105919000227,339.82682369998656,339.82682369998656,339.86743270000443,339.86743270000443,None,8,0,1.2179040000773966,339.86743270000443,None,341.3676320000086,None,['7'],341.3676320000086,None,[0.485840099863708],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,040_y_f_s_a.jpg,sad,7,8,m,008_y_m_h_a.jpg,happy,incongruent,9,mismatch,,130,150,,2,175,block1_Pilot_2,40,s_h,s_h_weak,,,,,0,0,0,0,0,21,21,21,,,,,,,,,344.3692364001181,None,345.83395580016077,346.1271836999804,346.1271836999804,346.1435319001321,346.1435319001321,346.1843435000628,346.1843435000628,None,8,0,0.7892938998993486,346.1843435000628,None,347.6851772000082,None,['7'],347.6851772000082,None,[0.38436200004071],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,004_o_m_h_a.jpg,happy,9,40,f,040_y_f_s_a.jpg,sad,incongruent,7,mismatch,,120,160,,2,193,block1_Pilot_2,4,h_s,h_s_weak,,,,,0,0,0,0,0,22,22,22,,,,,,,,,350.6855198000558,None,352.33569229999557,352.62731920019723,352.62731920019723,352.6436491999775,352.6436491999775,352.6844365000725,352.6844365000725,None,9,0,0.7370073997881263,352.6844365000725,None,354.18446740019135,None,['7'],354.18446740019135,None,[0.404888299992308],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,f,028_y_f_s_a.jpg,sad,7,13,m,013_y_m_n_a.jpg,neutral,incongruent,8,mismatch,,130,170,,2,126,block1_Pilot_2,28,s_n,s_n_weak,,,,,0,0,0,0,0,23,23,23,,,,,,,,,357.18532690010034,None,358.2465101000853,358.53565530013293,358.53565530013293,358.5521259000525,358.5521259000525,358.5929950000718,358.5929950000718,None,8,1,1.3083694998640567,358.5929950000718,None,360.09324329998344,None,['8'],360.09324329998344,None,[0.7441885999869555],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,004_o_m_h_a.jpg,happy,9,40,f,040_y_f_n_a.jpg,neutral,incongruent,8,mismatch,,120,170,,3,146,block1_Pilot_2,4,h_n,h_n_strong,,,,,0,0,0,0,0,24,24,24,,,,,,,,,363.0932536001783,None,364.33151190006174,364.6278562999796,364.6278562999796,364.65222540008835,364.65222540008835,364.69311580015346,364.69311580015346,None,9,0,0.5923719999846071,364.69311580015346,None,366.1930397001561,None,['7'],366.1930397001561,None,[0.2686283001676202],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
,m,008_y_m_s_a.jpg,sad,7,30,f,030_o_f_n_a.jpg,neutral,incongruent,8,mismatch,,130,170,,3,132,block1_Pilot_2,8,s_n,s_n_strong,,,,,0,0,0,0,0,25,25,25,,,,,,,,,369.19507970009,None,370.31492780009285,370.6111693000421,370.6111693000421,370.6356987999752,370.6356987999752,370.67652159999125,370.67652159999125,None,7,0,0.8410700000822544,370.67652159999125,None,372.17664139997214,None,['7'],372.17664139997214,None,[0.26090400014072657],,,,,Emoconpilot030,2021_Oct_20_1148,BackwardMask,2020.2.8,119.67620382652794,
